name	count	zeros	zeros%	min	max	mean	variance	stdev	uniq~	uniq%	entropy
800w	1	351	99.7	0	1	0.00284090909090909	0.0	0.1	2 (!)	200.0 (!)	0.0/8.5 (!)
830a	2	350	99.4	0	1	0.00568181818181818	0.0	0.1	3 (!)	150.0 (!)	0.1/8.5 (!)
830b	1	351	99.7	0	1	0.00284090909090909	0.0	0.1	2 (!)	200.0 (!)	0.0/8.5 (!)
830p	1	351	99.7	0	1	0.00284090909090909	0.0	0.1	2 (!)	200.0 (!)	0.0/8.5 (!)
830v	3	349	99.1	0	1	0.00852272727272727	0.0	0.1	4 (!)	133.3 (!)	0.1/8.5 (!)
830w	4	349	99.1	0	2	0.0113636363636364	0.0	0.1	5 (!)	125.0 (!)	0.1/8.5 (!)
8563	556	84	23.9	0	31	1.57954545454545	4.4	2.1	15	2.7	2.5/9.3
856m	424	91	25.9	0	29	1.20454545454545	3.1	1.8	22	5.2	3.3/9.0
856u	602	81	23.0	0	31	1.71022727272727	4.9	2.2	507	84.4	8.4/9.3
856y	384	130	36.9	0	27	1.09090909090909	3.1	1.8	11	2.9	2.5/9.0
856z	10	342	97.2	0	1	0.0284090909090909	0.0	0.2	2	20.0	0.2/8.5
LDR	352	0	0.0	1	1	1	0.0	0.0	346	98.5	8.4/8.4
